Name,Price,Brand
"Y6 - Quad-Core, 5.0 - 1GB - 8GB - 8MP - Black (Brand Warranty)"," 14,899",Huawei
T1 - 701U - 3G - 7 - 8GB HDD - 1GB RAM - 2MP Front-Back Camera - Black (Brand Warranty)," 13,799",Huawei
G8 - 5.5 - 32 GB - 3 GB RAM - 1.5GHz Octa Core - 13 MP Camera - Horizon Gold (Brand Warranty)," 36,400",Huawei
G8 - 5.5 - 32 GB - 3 GB RAM - 1.5GHz Octa Core - 13 MP Camera - Horizon Gold (Brand Warranty)," 38,999",Huawei
Mate S - 5.5 - 64GB - 3GB RAM - 2.2 Octa Core Processor - 13 MP Camera - Gold (Brand Warranty)," 59,999",Huawei
Mate S - 5.5 - 64GB - 3GB RAM - 2.2 Octa Core Processor - 13 MP Camera - Gold (Brand Warranty)," 67,999",Huawei
G8 - 5.5 - 32 GB - 3 GB RAM - 1.5GHz Octa Core - 13 MP Camera - Mystic Champagne (Brand Warranty)," 36,400",Huawei
G8 - 5.5 - 32 GB - 3 GB RAM - 1.5GHz Octa Core - 13 MP Camera - Mystic Champagne (Brand Warranty)," 36,700",Huawei
Mate S - 5.5 - 64GB - 3GB RAM - 2.2 Octa Core Processor - 13 MP Camera - Gold (Brand Warranty)," 60,499",Huawei
Mate S - 5.5 - 64 GB - 3GB RAM - Octa Core - 13 MP Camera - Luxurious Gold (Brand Warranty)," 61,400",Huawei
Mate S - 5.5 - 64GB - 3GB RAM - 2.2 Octa Core Processor - 13 MP Camera - Gold (Brand Warranty)," 61,400",Huawei
GRA-UL00 - P8 - 5.2 - 16 GB HDD - 3 GB RAM - 13 MP Camera - Titanium Grey (Brand Warranty)," 47,000",Huawei
Honor 4C - Dual Sim - 5.0” - 8 GB - 2 GB RAM - 1.2 GHz Octa-core - 13 MP Camera - White (Brand Warranty)," 21,000",Huawei
G8 - 5.5 - 32 GB - 3 GB RAM - 1.5GHz Octa Core - 13 MP Camera - Horizon Gold (Brand Warranty)," 41,000",Huawei
Honor 4C - Dual Sim - 5.0” - 8 GB - 2 GB RAM - 1.2 GHz Octa-core - 13 MP Camera - Black (Brand Warranty)," 21,000",Huawei
G8 - 5.5 - 32 GB - 3 GB RAM - 1.5GHz Octa Core - 13 MP Camera - Mystic Champagne (Brand Warranty)," 41,000",Huawei
GRA-UL00 - P8 - 5.2 - 16 GB HDD - 3 GB RAM - 13 MP Camera - Mystic Champagne (Brand Warranty)," 47,000",Huawei
Honor 4C - Dual Sim - 5.0” - 8 GB - 2 GB RAM - 1.2 GHz Octa-core - 13 MP Camera - Gold (Brand Warranty)," 21,000",Huawei
Mate S - 5.5 - 64 GB - 3GB RAM - Octa Core - 13 MP Camera - Luxurious Gold (Brand Warranty)," 63,000",Huawei
Mate S - 5.5 - 64 GB - 3GB RAM - Octa Core - 13 MP Camera - Luxurious Gold (Brand Warranty)," 59,000",Huawei
Y635 - 5.0 - 4 GB - 1 GB RAM - 1.2 GHz Quad Core - 5 MP Camera - Black (Brand Warranty)," 13,499",Huawei
G8 - 5.5 - 32GB - 3GB RAM - 1.5GHz Octa Core - 13 MP Camera - Gold (Brand Warranty)," 40,999",Huawei
G8 - 5.5 - 32 GB - 3 GB RAM - 1.5GHz Octa Core - 13 MP Camera - Mystic Champagne (Brand Warranty)," 38,999",Huawei
Y530 - Ascend - 4.5 - 4 GB - 512 MB - 5 MP Camera - Black (Brand Warranty)," 14,999",Huawei
G7-L03 - Ascend G7 - 5.5 - 16 GB - 2 GB RAM - 1.2 GHz Quad-core - 13 MP Camera - White (Brand Warranty)," 29,999",Huawei
Y300 - Ascend - 4 - 4 GB - 512 MB RAM - 5 MP Camera - White (Brand Warranty)," 13,500",Huawei
Y300 - Ascend - 4 - 4 GB - 512 MB RAM - 5 MP Camera - Black (Brand Warranty)," 13,500",Huawei
Y530 - Ascend - 4.5 - 4 GB - 512 MB - 5 MP Camera - White (Brand Warranty)," 14,999",Huawei
Ascend G6 - 4.5 - 4 GB - 1 GB RAM - 8 MP Camera - White (Brand Warranty)," 22,999",Huawei
Ascend G6 - 4.5 - 4 GB - 1 GB RAM - 8 MP Camera - Black (Brand Warranty)," 22,999",Huawei
MT7-TL10 - Ascend Mate 7 - 6.0 - 16 GB - 3 GB RAM - 1.8 GHz Quad-core - 13 MP Camera - Black (Brand Warranty)," 57,000",Huawei
