id,fielders,kind,player_out,odi_no,check
972,1589,stumped,182,3569,0
973,643,caught,1517,3567,0
974,1,caught,1478,3567,0
975,355,caught,557,3567,0
976,708,caught,1551,3567,0
977,2159,caught,1589,3567,0
978,19,caught,236,3567,0
979,,bowled,662,3567,0
980,,lbw,19,3567,0
981,,bowled,643,3567,0
982,1589,caught,2159,3567,0
983,1589,caught,1,3567,0
984,1589,caught,355,3567,0
985,670,run out,708,3567,0
986,,bowled,685,3567,0
987,1589,caught,621,3567,0
988,,caught and bowled,384,3567,0
989,1478,caught,182,3567,0
990,621,caught,664,3565,0
991,,bowled,1478,3565,0
992,621,caught,1517,3565,0
993,384,caught,1551,3565,0
994,,lbw,670,3565,0
995,685,caught,1589,3565,0
996,,caught and bowled,1549,3565,0
997,,bowled,574,3565,0
998,685,caught,236,3565,0
999,,bowled,556,3565,0
1000,,bowled,2159,3565,0
1001,,lbw,19,3565,0
1002,556,caught,643,3565,0
1003,670,caught,1,3565,0
1004,236,caught,355,3565,0
1005,1517,caught,440,3563,0
1006,1589,caught,2159,3563,0
1007,,bowled,685,3563,0
1008,664,caught,643,3563,0
1009,,bowled,1,3563,0
1010,1517,caught,708,3563,0
1011,236,caught,724,3563,0
1012,,bowled,384,3563,0
1013,236,caught,621,3563,0
1014,1589,caught,355,3563,0
1015,355,caught,1478,3563,0
1016,621,caught,664,3563,0
1017,,bowled,1517,3563,0
1018,384,caught,1589,3563,0
1019,355,caught,664,3561,0
1020,708,caught,1478,3561,0
1021,621,caught,1524,3561,0
1022,708,caught,1551,3561,0
1023,2159,caught,1589,3561,0
1024,163,caught,1549,3561,0
1025,2159,caught,236,3561,0
1026,708,stumped,1567,3561,0
1027,1589,caught,19,3561,0
1028,1509,1589,run out,2159,3561,0
1029,556,caught,440,3561,0
1030,1589,caught,1,3561,0
1031,236,caught,355,3561,0
1032,,bowled,2159,3557,0
1033,236,caught,2165,3557,0
1034,664,caught,19,3557,0
1035,670,caught,355,3557,0
1036,,lbw,685,3557,0
1037,,bowled,708,3557,0
1038,1589,stumped,384,3557,0
1039,1551,caught,1,3557,0
1040,,bowled,163,3557,0
1041,,bowled,347,3557,0
1042,1,caught,664,3557,0
1043,384,caught,1478,3557,0
1044,685,1,708,run out,664,3554,0
1045,,lbw,1589,3554,0
1046,,caught and bowled,1478,3554,0
1047,724,caught,1551,3554,0
1048,708,caught,1517,3554,0
1049,19,caught,236,3554,0
1050,,lbw,19,3554,0
1051,1517,caught,2165,3554,0
1052,1589,caught,685,3554,0
1053,,bowled,355,3554,0
1054,,bowled,708,3554,0
1055,,caught and bowled,2159,3554,0
1056,1589,stumped,724,3554,0
1057,1589,stumped,384,3554,0
1058,,bowled,182,3554,0
1059,664,caught,1,3554,0
1060,,bowled,981,3598,0
1061,832,caught,209,3598,0
